species	genus	family	min_age	max_age	mean_age	crown_stem	epoch	organ	reference	comment	source	Locality
Lisianthius sp.	Lisianthius	Gentianaceae	33,9	48,6	41,25	stem	middle(?)- Late Eocene	pollen	Graham, A., 1984.	Pollen delimeted by using light mircroscopy		
Macrocarpaea sp.	Macrocarpaea	Gentianaceae	48,6	55,8	52,2	stem	early Eocene	flower & Pollen	Crepet & Daglian 1981			
Cephalanthus kireevskianus	Cephalanthus	rubiaceae	33,9	40,4	37,15	stem	Late Eocene	fruit	Mai DH, Walther H (1985) (german not found)		Antonelli 2009	
"Paleorubiaceophyllum
eocenicum"		rubiaceae	40,4	48,6	44,5	stem	middle Eocene	Leaf	Roth and Dilcher (1979)		Bremer 2009	
Faramea sp.	Faramea	rubiaceae	33,9	40,4	37,15	stem	Late Eocene	pollen	Graham (1985)		Bremer 2009	
Scyphiphora sp.	Scyphiphora	rubiaceae	5,3	23	14,15	stem	Miocene	pollen	Leopold (1969) (book no pdf)	more precise age estimate: Saenger (1998)	Bremer 2009	
Cephalanthus pusillus	Cephalanthus	rubiaceae	11,6	16	13,8	stem	middle Miocene	fruit	Friis (1985) (book no pdf)		Bremer 2009	
Apocynospermum sp.		Apocynaceae	48,6	40,4	44,5	stem	middle Eocene	seed	collison 2010			"Europe; Germany; Messel"
Rauvolfia sp.	Rauvolfia	Apocynaceae			5Ma	stem		pollen?				
Lasianthus distinctus	Lasianthus	rubiaceae	65,5	55,8	60,7	stem	paleocene	Leaf impression	Baykovskaya (1984)		Bremer 2009 appendix 2.	
Retitricolporites annulus+	Retitricolporites+	rubiaceae	33,9	23	28,5	stem	Oligocene	pollen	Salard-Cheboldaeff (1978)		Bremer 2009 appendix 2.	"Afrika; Cameroon"
Triporotetradites hoekenii+	Triporotetradites+	rubiaceae	33,9	23	28,5	stem	Oligocene	pollen	Salard-Cheboldaeff (1978)		Bremer 2009 appendix 2.	"Afrika; Cameroon"
Triporotetradites letouzeyi+	Triporotetradites+	rubiaceae	33,9	23	28,5	stem	Oligocene	pollen	Salard-Cheboldaeff (1978)		Bremer 2009 appendix 2.	"Afrika; Cameroon"
Sabicea sp.	Sabicea	rubiaceae	23	16	19,5	stem	Lower Miocene	pollen	Graham (1987)		Bremer 2009 appendix 2.	"Central America; Panama"
Gardenia cf. grievei	Gardenia	rubiaceae	23	5,3	14,5	stem	Miocene	pollen	Leopold (1969) (book no pdf)		Bremer 2009 appendix 2.	"Oceania; Marshall Islands"
Ixora sp.	Ixora	rubiaceae	23	5,3	14,5	stem	Miocene	pollen	Leopold (1969) (book no pdf)		Bremer 2009 appendix 2.	"Oceania; Marshall Islands"
Morinda sp.	Morinda	rubiaceae	23	5,3	14,5	stem	Miocene	pollen	Leopold (1969) (book no pdf)		Bremer 2009 appendix 2.	"Oceania; Marshall Islands"
