Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Metastelma parviflorum	parviflorum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum parviflorum
Vinca minor	minor	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vinca	Vinca minor
Gentianella germanica	germanica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella germanica
Centaurium pulchellum	pulchellum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium pulchellum
Centaurium erythraea	erythraea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium erythraea
Blackstonia perfoliata	perfoliata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Blackstonia	Blackstonia perfoliata
Vinca major	major	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vinca	Vinca major
Vincetoxicum hirundinaria	hirundinaria	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum vincetoxicum
Gentianella ciliata	ciliata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella ciliata
Gentiana nivalis	nivalis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana nivalis
Mostuea hirsuta	hirsuta	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Mostuea	Mostuea hirsuta
Cynanchum		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	
Spigelia marilandica	marilandica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Spigelia	Spigelia marilandica
Cicendia filiformis	filiformis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Cicendia	Cicendia filiformis
Gentianopsis virgata	virgata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianopsis	Gentianopsis virgata
Catharanthus roseus	roseus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	Catharanthus roseus
Allamanda cathartica	cathartica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Allamanda	Allamanda cathartica
Gentianella		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	
Gentianella bicolor	bicolor	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella bicolor
Apocynum androsaemifolium	androsaemifolium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Apocynum	Apocynum androsaemifolium
Gentianella corallina	corallina	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella corallina
Gentianopsis crinita	crinita	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianopsis	Gentianopsis crinita
Mandevilla symphytocarpa	symphytocarpa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Mandevilla	Mandevilla symphytocarpa
Strychnos colombiensis	colombiensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos colombiensis
Tabernaemontana phymata	phymata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana phymata
Cryptostegia grandiflora	grandiflora	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cryptostegia	Cryptostegia grandiflora
Strychnos decussata	decussata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos decussata
Apocynum venetum	venetum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Trachomitum	Trachomitum venetum
Streptocaulon cumingii	cumingii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Streptocaulon	Streptocaulon cumingii
Gentiana ciliata	ciliata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana ciliata
Strychnos lucida	lucida	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos lucida
Rauvolfia nitida	nitida	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Rauvolfia	Rauvolfia nitida
Raphionacme brownii	brownii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Raphionacme	Raphionacme brownii
Hoya australis	australis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Hoya	Hoya australis
Vincetoxicum laxum	laxum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Vincetoxicum	Vincetoxicum laxum
Vincetoxicum nigrum	nigrum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum louiseae
Cynanchum acutum	acutum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum acutum
Melochia		Plantae	Magnoliophyta	Magnoliopsida	Gentianales		Melochia	
Hoya pubens	pubens	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Hoya	Hoya pubens
Cynanchum paniculatum	paniculatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum paniculatum
Mitrasacme pygmaea	pygmaea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Mitrasacme	Mitrasacme pygmaea
Parameria laevigata	laevigata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Parameria	Parameria laevigata
Asclepias incarnata	incarnata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias incarnata
Gomphocarpus fruticosus	fruticosus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Gomphocarpus	Gomphocarpus fruticosus
Gentiana cruciata	cruciata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana cruciata
Gentiana angustifolia	angustifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana angustifolia
Apocynaceae		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae		
Strychnos guianensis	guianensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos guianensis
Secamone minutifolia	minutifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Secamone	Secamone minutifolia
Swertia bimaculata	bimaculata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Swertia	Swertia bimaculata
Tripterospermum trinervium	trinervium	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Tripterospermum	Tripterospermum trinervium
Cynanchum atratum	atratum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum atratum
Marsdenia tomentosa	tomentosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Marsdenia	Marsdenia tomentosa
Swertia japonica	japonica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Swertia	Swertia japonica
Alyxia bracteolosa	bracteolosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alyxia	Alyxia bracteolosa
Alyxia retusa	retusa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Alyxia	Alyxia retusa
Clitandra landolphioides	landolphioides	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Clitandra	Clitandra landolphioides
Gentiana bigelovii	bigelovii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana affinis
Geniostoma laxum	laxum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Geniostoma	Geniostoma laxum
Gentiana squarrosa	squarrosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana squarrosa
Gentianopsis grandis	grandis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianopsis	Gentianopsis grandis
Melodinus kopsiifolius	kopsiifolius	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Melodinus	Melodinus kopsiifolius
Prosthecidiscus guatemalensis	guatemalensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Prosthecidiscus	Prosthecidiscus guatemalensis
Rauvolfia sarapiquensis	sarapiquensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Rauvolfia	Rauvolfia sarapiquensis
Sabatia kennedyana candida	kennedyana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Sabatia	Sabatia kennedyana
Lomatogonium micranthum	micranthum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Lomatogonium	Lomatogonium micranthum
Periploca laevigata	laevigata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Periploca	Periploca laevigata
Astephanus		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Astephanus	
Gentiana asclepiadea	asclepiadea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana asclepiadea
Hoya cagayanensis	cagayanensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Hoya	Hoya cagayanensis
Hoya obscurinervia	obscurinervia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Hoya	Hoya obscurinervia
Spigelia anthelmia	anthelmia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Spigelia	Spigelia anthelmia
Spigelia		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Spigelia	
Amsonia tabernaemontana	tabernaemontana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Amsonia	Amsonia tabernaemontana
Asclepias amplexicaulis	amplexicaulis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias amplexicaulis
Asclepias hirtella	hirtella	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias hirtella
Asclepias brachystephana	brachystephana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias brachystephana
Asclepias quadrifolia	quadrifolia	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias quadrifolia
Asclepias tuberosa interior	tuberosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias tuberosa
Asclepias verticillata	verticillata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias verticillata
Asclepias tuberosa	tuberosa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias tuberosa
