Acherontia atropos
Cucullia umbratica
Abrostola triplasia
Eupithecia massiliata
Euplagia quadripunctaria
Papestra biren
Nymphalis antiopa
Nymphalis polychloros
Furcula bifida
Lomaspilis marginata
Phragmatobia fuliginosa
Martes foina
Nymphalis urticae
Steropus madidus
Martes martes
Pica pica
Hylaea fasciaria
Scotopteryx octodurensis
Pachetra sagittigera
Accipiter nisus
Picus viridis
Motacilla alba
Hierophis viridiflavus
Xestia ashworthii
Xestia c-nigrum
Xestia triangulum
Xestia baja
Xestia rhomboidea
Xestia xanthographa
Scopula imitaria
