Acherontia atropos
Cucullia umbratica
Abrostola triplasia
Eupithecia massiliata
Euplagia quadripunctaria
Papestra biren
Nymphalis antiopa
Nymphalis polychloros
Furcula bifida
Lomaspilis marginata
Phragmatobia fuliginosa
Martes foina
Nymphalis urticae
Steropus madidus
Martes martes
Pica pica
Hylaea fasciaria
Scotopteryx octodurensis
Pachetra sagittigera
Accipiter nisus
Picus viridis
Motacilla alba
Hierophis viridiflavus
Xestia ashworthii
Xestia c-nigrum
Xestia triangulum
Xestia baja
Xestia rhomboidea
Xestia xanthographa
Scopula imitaria
Scopula immorata
Opisthograptis luteolata
Antocharis cardamines
Boloria dia
Motacilla cinerea
Scolopax rusticola
Caradrina clavipalpis
Caradrina selini
Eupithecia plumbeolata
Eupithecia indigata
Epione paralellaria
Phalera bucephala
Mesapamea secalis
Pipistrellus pipistrellus
Nebula nebulata
Scopula marginepunctata
Nebula salicata
Leptothorax acervorum
Myrmica schencki
Hipparchia alcyone
Eupithecia pusillata
Idaea calunetaria
Hipparchia statilinus
Hipparchia semele
Zygaena hilaris
Zygaena purpuralis
Hoplodrina ambigua
Zygaena hippocrepidis
Zygaena lonicerae
Parnassius apollo
Hoplodrina blanda
Eugnorisma depuncta
Hoplodrina octogenaria
Neuronia decimalis
Eupithecia satyrata
Pyramidcampa pyramidea
Aporia crataegi
Thetidia smaragdaria
Scopula ornata
Coronella girondica
Tipula cataloniensis
Lanius collurio
Eupithecia silenata
Lasioharpalus cupreus
Agrotis cinerea
Agrotis clavis
Agrotis exclamationis
Passer domesticus
Agrotis simplonia
Agrotis trux
Polygonia c-album
Vanessa atalanta
Setina irrorella
Eupithecia subfuscata
Ptyonoprogne rupestris
Turdus merula
Cuculus canorus
Vanessa cardui
Campaea margaritata
Catarhoe rubidata
Apodemus flavicollis
Eupithecia tantillaria
Colocasia coryli
Lacerta agilis
Passer montanus
Hypena obesalis
Hypena proboscidalis
Apodemus sylvaticus
Lacerta bilineata
Marmota marmota
Eupithecia venosata
Lasiommata maera
Lehmannia marginata
Lanius senator
Sylvia borin
Lasiommata megera
Myrmica ruginodis
Sciurus vulgaris
Boloria napaea
Eupithecia vulgata
Boloria pales
Myrmica sabuleti
Trichopteryx carpinata
Boloria euphrosyne
Eulithis populata
Chersotis alpestris
Chersotis ocellina
Boloria selene
Gnophos glaucinarius
Turdus philomelos
Eulithis pyraliata
Boloria eunomia
Gnophos ambiguatus
Leptidea sinapis
Atethmia centrago
Sylvia atricapilla
Lygaeidae None
Idaea subsaturata
Noctua comes
Sylvia cantillans
Lacerta lepida
Ourapteryx sambucaria
Bufo bufo
Biston betularius
Iberolacerta aurelioi
Alytes obstetricans
Minoa murinata
Noctua fimbriata
Pararge aegeria
Apamea lithoxylaea
Apamea lateritia
Apamea crenata
Apamea sordens
Falco peregrinus
Apamea maillardi
Circus aeruginosus
Apamea furva
Apamea platinea
Sylvia hortensis
Garrulus glandarius
Dendrocopos major
Clethrionomys glareolus
Lagopus mutus
Omia cymbalariae
Culex hortensis
Satyrium acaciae
Satyrium spini
Gnophos obfuscatus
Argynnis adippe
Erynnis tages
Lacerta muralis
Noctua interposita
Geometra papilionaria
Hadena caesia
Cabera exanthemata
Hadena albimacula
Hadena compta
Conistra vaccinii
Hadena filograna
Conistra rubiginea
Hadena perplexa
Euchloe ausonia
Stegania trimaculata
Turdus viscivorus
Plebejus argus
Pieris brassicae
Chesias rufata
Cabera pusaria
Adalbertia castiliaria
Sylvia undata
Lycophotia porphyrea
Scopula incanata
Lygephila craccae
Diachrysia chrysitis
Lampropteryx suffumata
Euproctus asper
Argynnis paphia
Iphiclides podalirius
Aplocera plagiata
Lithophane hepatica
Aplocera praeformata
Perizoma albulatum
Perizoma alchemillatum
Falco tinnunculus
Onthophagus fracticornis
Onthophagus joannae
Silpha alpestris
Hada plebeja
Polia nebulosa
Pyrgus malvae
Eurois occulta
Salamandra salamandra
Apamea monoglypha
Lycia hirtaria
Calathus erratus
Bupalus piniaria
Libellula depressa
Vulpes vulpes
Perizoma flavosparsatum
Fabriciana adippe
Aegithalos caudatus
None None
Perizoma hydratum
Brenthis ino
Ceramica pisi
Lacerta vivipara
Felis silvestris
Chazara briseis
Selenia dentaria
Chlorissa cloraria
Alauda arvensis
Gnophos mucidarius
Perdix perdix
Maculinea alcon
Pyrrhocorax graculus
Pyrrhocorax pyrrhocorax
Pseudochropleura musiva
Aeshna juncea
Selenia lunularia
Inachis io
Dryocopus martius
Maculinea arion
Enallagma cyathigerum
Trichocera andorensis
Alcis repandatus
Pieris napi
Satyrium w-album
Culiseta longiareolata
Diacrisia sannio
Calophasia lunula
Ematurga atomaria
Idaea humiliata
Ochlodes venata
Notodonta dromedarius
Crocallis elinguaria
Pieris rapae
Notodonta tritophus
Notodonta ziczac
Xanthia icteritia
Turdus torquatus
Xanthia togata
Erithacus rubecula
Melitaea cinxia
Satyrus actaea
Noctua janthina
Gymnoscelis rufifasciata
Rana temporaria
Hemaris tityus
Prunella collaris
Mesoligia furuncula
Agrius convolvuli
Conistra staudingeri
Mesoligia literosa
Erannis defoliaria
Eupsilia transversa
Oligia strigilis
Syngrapha interrogationis
Aricia cramera
Aricia montensis
Aricia nicias
Lycaena phlaeas
Xanthorhoe montanata
Nephrotoma analis
Odontopera bidentata
Tipula fulvipennis
Oenanthe oenanthe
Limax maximus
Tipula maxima
Pontia daplidice
Diplolepis rosae
Pontia callidice
Pseudopanthera macularia
Brintesia circe
Troglodytes troglodytes
Pyrrhosoma nymphula
Coturnix coturnix
Chemerina caliginearia
Agrochola litura
Meles meles
Aethalura punctulata
Mamestra brassicae
Lepus europaeus
Heliothis armigera
Camptogramma bilineatum
Heliothis peltigera
Parus ater
Cosmia trapezina
Pipistrellus kuhlii
Rupicapra pyrenaica
Tapinoma erraticum
Sphinx pinastri
Mus musculus
Aleucis distinctata
Lysiphlebus balcanicus
Parus caeruleus
Monticola saxatilis
Arion subfuscus
Enargia paleacea
Monticola solitarius
Aegolius funereus
Tipula lunata
Heliothis viriplaca
Salmo trutta
Luperina testacea
Formica fusca
Parus cristatus
Pyrgus serratulae
Anaplectoides prasina
Corvus corax
Cryphia domestica
Cryphia algae
Anthus spinoletta
Emberiza cia
Coenonympha arcania
Montifringilla nivalis
Formica lemani
Corvus corone
Tipula verrucosa
Formica lugubris
Limenitis camilla
Anthus trivialis
Lasiocampa trifolii
Emberiza cirlus
Emberiza citrinella
Sus scrofa
Melitaea deione
Melitaea parthenoides
Acronicta leporina
Acronicta megacephala
Parus major
Acronicta psi
Coenonympha dorus
Acronicta auricoma
Acronicta euphorbiae
Macrothylacia rubi
Neomys fodiens
Stilbia anomala
Emberiza hortulana
Certhia brachydactyla
Adscita geryon
Adscita statices
Certhia familiaris
Columba palumbus
Autographa bractea
Coronella austriaca
Protolampra sobrina
Jynx torquilla
Lithosia quadra
Pterostoma palpina
Formica rufibarbis
Autographa jota
Formica sanguinea
Achlya flavicornis
Lampides boeticus
Tipula subnodicornis
Saxicola rubetra
Falco subbuteo
Dichagyris renigera
Mesoacidalia aglaja
Euphydryas aurinia
Saxicola torquata
Melitaea diamina
Coenonympha pamphilus
Chloroclysta citrata
Crocidura russula
Melitaea didyma
Chloroclysta miata
Mustela erminea
Tichodroma muraria
Chloroclysta siterata
Limenitis reducta
Chloroclysta truncata
Pheosia gnoma
Pheosia tremula
Tipula hemiptera
Dendrolimus pini
Clossiana dia
Tipula montana
Tipula pallidicosta
Tipula scripta
Petronia petronia
Thera variata
Eilema complana
Tipula lateralis
Polymixis xanthomista
Tipula submontium
Sideridis rivularis
Actinotia radiosa
Peridroma saucia
Natrix maura
Bryonycta pineti
Delichon urbica
Malacolimax tenellus
Melanargia lachesis
Cerura iberica
Melitaea phoebe
Semiothisa clathrata
Semiothisa liturata
Hadula pugnax
Ovis gmelini
Lasius alienus
Euclidia glyphica
Discestra microdon
Melanargia russiae
Agriades glandon
Idaea alyssumata
Sitta europaea
Selidosema taeniolarium
Parasemia plantaginis
Endromis versicolora
Gonepteryx rhamni
Lasius flavus
Idaea aversata
Deroceras agreste
Deroceras levisarcobelum
Pernis apivorus
Deroceras reticulatum
Idaea bilinearia
Deroceras altimirai
Cicindela campestris
Catarhoe cuculata
Ptilodon capucina
Sideridis reticulata
Luscinia megarhynchos
Psammodromus algirus
Idaea contiguaria
Valeria jaspidea
Colostygia aptata
Mniotype adusta
Xanthorhoe fluctuata
Lobophora halterata
Idaea dilutaria
Callophrys rubi
Lycaeides idas
Cerapteryx graminis
Colostygia pectinataria
Laothoe populi
Brenthis daphne
Nephrotoma aculeata
Buteo buteo
Lycaena tityrus
Thymelicus lineola
Lycaena hippothoe
Lycaena alciphron
Laspeyra flexula
Xanthorhoe munitata
Idaea fuscovenosa
Arion lusitanicus
Arion hortensis
Arion intermedius
Thaumetopoea pityocampa
Arion molinae
Issoria lathonia
Arctia tigrina
Strix aluco
Vipera aspis
Nephrotoma cornicina
Xanthorhoe spadicearia
Pipistrellus savii
Phlogophora meticulosa
Glossotrophia rufomixtaria
Lacanobia thalassina
Lacanobia w-latinum
Idaea luteolaria
Nephrotoma flavescens
Milvus migrans
Rusina tristis
Malacosoma neustria
Apus apus
Regulus ignicapillus
Crocota peletieraria
Boloria eumonia
Milvus milvus
Oryctolagus cuniculus
Regulus regulus
Lasionycta proxima
Diarsia guadarramensis
Catocala conjuncta
Catocala fraxini
Catocala nymphagoga
Charadrius morinellus
Erebia euryale
Watsonalla uncinula
Panolis flammea
Asthena albulata
Cosmorhoe ocellata
Hyponephele lycaon
Eupithecia abbreviata
Papilio machaon
Epipsilia grisescens
Deilephila porcellus
Cerastis rubricosa
Alectoris rufa
Mustela nivalis
Peribatodes abstersarius
Spialia sertorius
Sympetrum flaveolum
Peribatodes manuelarius
Phylloscopus bonelli
Peribatodes perversarius
Ardea cinerea
Lymantria dispar
Camponotus herculeanus
Pennithera firmata
Ennomos alniaria
Bombus pratorum
Microtus agrestis
Cryphia ravula
Eudia pavonia
Phylloscopus collybita
Podarcis hispanica
Microtus arvalis
Ennomos fuscantaria
Pseudaporophyla haasi
Euxoa aquilina
Euxoa conspicua
Euxoa decora
Euxoa nigricans
Euxoa obelisca
Euxoa recussa
Colias crocea
Colias phicomone
Podarcis muralis
