Pachastrella monilifera
Limnephilus ignavus
Phytocoris longipennis
Limnephilus incisus
Macrodema micropterum
Micromus variegatus
None None
Oithona atlantica
Limnephilus lunatus
Limnephilus marmoratus
Phytocoris pini
Phytocoris populi
Hylaea fasciaria
Carcinops pumilio
Myrmeleon bore
Ischnosoma longicorne
Limnephilus nigriceps
Philonthus addendus
Ischnosoma splendidum
Filograna implexa
Philonthus albipes
Limnephilus pantodapus
Oithona similis
Limnephilus picturatus
Limnephilus politus
Philonthus atratus
Carcinus maenas
Phytocoris tiliae
Lycia hirtaria
Myrmeleon formicarius
Phytocoris ulmi
Guancha blanca
Philonthus carbonarius
Bembecia ichneumoniformis
Philonthus cephalotes
Limnephilus sericeus
Limnephilus sparsus
Philonthus cognatus
Philonthus concinnus
Limnephilus stigma
Limnephilus subcentralis
Limnephilus subniditus
Philonthus corvinus
Philonthus cruentatus
Limnephilus vittatus
Philonthus debilis
Nemorilla maculosa
Philonthus decorus
Rilaena triangularis
Philonthus discoideus
Philonthus ebeninus
Lichenopora verrucaria
Emmelina monodactyla
Philonthus fimetarius
Ceutorhynchus assimilis
Glomeris marginata
Ornatoscalpellum stroemii
Philonthus fumarius
Lateroligia ophiogramma
Ceutorhynchus cakilis
Lepthyphantes alacris
Lepthyphantes antroniensis
Ceutorhynchus cochleariae
Ischnura elegans
Lepthyphantes complicatus
Philonthus laminatus
Micronecta poweri
Philonthus lepidus
Ceutorhynchus erysimi
Lepthyphantes ericaeus
Lepthyphantes exiguus
Philonthus longicornis
Achroia grisella
Bostrichus capucinus
Dictyla echii
Philonthus marginatus
Myrmeleotettix maculatus
Segestria senoculata
Pocadius ferrugineus
Ceutorhynchus hirtulus
Monoophorum tubiferum
Membranipora membranacea
Onychiurus cebennarius
Ceutorhynchus inaffectatus
Lepthyphantes leprosus
Scutisotoma subarctica
Peritrechus geniculatus
Philonthus nigrita
Philonthus nigriventris
Membranipora pilosa
Paradoneis lyra
Myrmetes paykulli
Dictyna arundinacea
Lathonura rectirostris
Lepthyphantes mengei
Xylotrechus antilope
Philonthus ochropus
Dictyna borealis
Lepthyphantes minutus
Ilybius aenescens
Ilybius angustior
Chloriona glaucescens
Hylaeus communis
Philonthus parvicornis
Bembidion aeneum
Ilybius ater
Chloriona smaragdula
Philonthus politus
Xylotrechus pantherinus
Phytoecia cylindrica
Ilybius crassus
Aplexa hypnorum
Dictyna major
Ilybius erichsoni
Ceutorhynchus pallidactylus
Ilybius fenestratus
Philonthus puella
Ceutorhynchus pallipes
Bembidion argenteolum
Ilybius fuliginosus
Lepthyphantes sobrius
Microneta viaria
Sagartiogeton laceratus
Dictyna pusilla
Bembidion articulatum
Ilybius guttiger
Philonthus quisquiliarius
Sagartiogeton undatus
Bembidion assimile
Lepthyphantes turbatrix
Cypridina norvegica
Sagatus punctifrons
Harminius undulatus
Monophadnoides rubi
Ceutorhynchus querceti
Bembidion bipunctatum
Philonthus sanguinolentus
Ilybius subaeneus
Xylotrechus rusticus
Philonthus scoticus
Ceutorhynchus rapae
Ilybius subtilis
Macrogastra plicatula
Monophadnus monticola
Ilybius vittiger
Monophadnus pallescens
Bembidion bruxellense
Myrmica lobicornis
Philonthus sordidus
Triaenodes bicolor
Macrogastra ventricosa
Philonthus splendens
Armina loveni
Myrmica rubra
Philonthus subvirescens
Trophomera diploptera
Philonthus succicola
Ischyrocerus anguipes
Myrmica ruginodis
Myrmica ruginoides
Ischyrocerus assimilis
Ilyobates nigricollis
Ilyobates subopacus
Philonthus tenuicornis
Ceutorhynchus sulcicollis
Chloris chloris
Myrmica sabuleti
Acilius sulcatus
Myrmica scabrinodis
Philonthus umbratilis
Ilyocryptus acutifrons
Leptidea reali
Ischyrocerus spitzbergensis
Philonthus varians
Leptidea sinapis
Ceutorhynchus typhae
Philonthus ventralis
Ilyocryptus sordidus
Trophon barvicensis
Lathrobium brunnipes
Bembidion deletum
Bembidion dentellum
Triaenodes simulans
Orectochilus villosus
Bembidion difficile
Lathrobium dilutum
Gonioctena decemnotata
Bembidion doris
Triaenodes unanimis
Harmonia axyridis
Henricia sanguinolenta
Trophon clathratus
Philopedon plagiatus
Sehirus luctuosus
Lathrobium fovulum
Trophon clavatus
Porrhomma convexum
Lathrobium fulvipenne
Lathrobium geminum
Porrhomma montanum
Lathrobium impressum
Bembidion fellmanni
Bembidion femoratum
Porrhomma pallidum
Porrhomma pygmaeum
Lathrobium longulum
Limnius volckmari
Spavius glaber
Lathrobium multipunctum
Bembidion gilvipes
Limnobaris dolorosa
Lathrobium quadratum
Bembidion grapii
Lathrobium rufipenne
Bembidion guttula
Bembidion hastii
Limnephilus rhombicus
Lathrobium sphagnetorum
Limnobaris t-album
Lathrobium terminatum
Bembidion hyperboraeorum
Lathrobium volgense
Harmothoe andreapolis
Lathrobium zetterstedti
Harmothoe antilopes
Harmothoe aspera
Mesoleuca albicillata
Platalea leucorodia
Silo pallipes
Coeliodes rana
Harmothoe castanea
Coeliodes ruber
Phytocoris varipes
Monopis laevigella
Agrilus suvorovi
Bembidion lampros
Ampharete falcata
Bembidion lapponicum
Ampharete finmarchica
Harmothoe fragilis
Neohela monstrosa
Paradoxostoma rostratum
Silometopus elegans
Monopis obviella
Silometopus incurvatus
Coeliodinus rubicundus
Platambus maculatus
Philopotamus montanus
Harmothoe glabra
Ampharete lindstroemi
Perizoma affinitata
Trophon truncatus
Aplocera plagiata
Bembidion litorale
Perizoma albulata
Harmothoe imbricata
Perizoma alchemillata
Bembidion lunatum
Monopis weaverella
Bembidion mannerheimii
Patella vulgata
Perizoma bifaciata
Harmothoe ljungmani
Bembidion mckinleyi
Perizoma blandiata
Macroglossum stellatarum
Harmothoe lunulata
Anobium fulvicorne
Bembidion minimum
Trophonopsis barvicensis
Calobata petronella
Eurois occulta
Lathronympha strigana
Coolinia applanata
Trophonopsis clavatus
Anobium nitidum
Protoschinia scutosa
Perizoma didymata
Lophocharis salpina
Limnobius borealis
Anobium punctatum
Xyphosia miliaria
Anobium rufipes
Perizoma flavofasciata
Harmothoe rarispina
Anobium thomsoni
Pogonocherus decoratus
Silpha obscura
Perizoma hydrata
Pogonocherus fasciculatus
Anobothrus gracilis
Bembidion obliquum
Philorhizus notatus
Phytometra viridaria
Pogonocherus hispidulus
Aeshna caerulea
Philorhizus sigma
Pogonocherus hispidus
Aeshna coerulea
Perizoma minorata
Tridonta elliptica
Aeshna cyanea
Scoparia pyralella
Limnochares aquaticus
Bembidion pallidipenne
Pachyatheta cribrata
Perizoma parallelolineata
Aeshna grandis
Nemotaulius punctatolineatus
Bembidion petrosum
Urothoe elegans
Europiella artemisiae
Chlorissa viridata
Aeshna juncea
Henryhowella asperrima
Hippuriphila modeeri
Henryhowella dasyderma
Urothoe norvegica
Perizoma taeniata
Bembidion prasinum
Bembidion properans
Aeshna mixta
Bembidion quadrimaculatum
Botaurus stellaris
Calocaris macandrea
Calocaris macandreae
Aeshna subarctica
Hylastes ater
Thyone fusus
Cixius cunicularius
Aplocnemus impressus
Stricklandia lens
Hylastes attenuatus
Hylastes brunneus
Aplocnemus nigricornis
Cixius distinguendus
Hylastes cunicularius
Psolus phantapus
Cyprinus carpio
Aplocnemus tarsalis
Bembidion saxatile
Bembidion schuppelii
Thyone raphanus
Hylastes opacus
Philoscia muscorum
Bembidion semipunctatum
Empicoris culiciformis
Seiurus aurocapilla
Cixius nervosus
Aploderus caelatus
Empicoris vagabundus
Micropeplus porcatus
Pogonognathellus flavescens
Thyonidium hyalinum
Pachybrachius fracticollis
Chrysopilus luteolus
Bembidion tetracolum
Cixius similis
Hypogastrura viatica
Hylecoetus dermestoides
Bembidion tibiale
Dysstroma citrata
Hyledelphax elegantulus
Agrilus viridis
Erannis defoliaria
Tropideres dorsalis
Nigrobaetis niger
Parechinus miliaris
Limnodriloides scandinavicus
Dysstroma infuscata
Bembidion velox
Dysstroma latefasciata
Psophus stridulus
Bembidion virens
Lygus rugulipennis
Bembidion yukonum
Limnodrilus hoffmeisteri
Neohypdonus arcticus
Paraediceros lynceus
Dysstroma truncata
Paraedwardsia sarsii
Triarthron maerkeli
Triarthron maerkelii
Glossiphonia complanata
Limnodromus scolopaceus
Protosuberites incrustans
Strigamia crassipes
Ditrupa arietina
Glossiphonia heteroclita
Strigamia maritima
Portlandia arctica
Thyreocoris scarabaeoides
Ditrypa libera
Tropidia scita
Selagia spadicella
Anodonta anatina
Neoitamus cyanurus
Cultellus pellucidus
Aethalura punctulata
Acmaea virginea
Tenthredo fagi
