Valeriana sambucifolia
Lonicera involucrata
Lophozia sudetica
None None
Polytrichum commune
Pedicularis sylvatica
Rumex graminifolius
Eurhynchium angustirete
Silene vulgaris
Knautia arvensis
Cerastium fontanum
Echinops sphaerocephalus
Puccinellia phryganodes
Taraxacum xanthostigma
Juncus balticus
Bolboschoenus maritimus
Hieracium norvegicum
Sedum villosum
Conyza canadensis
Nitella opaca
Sphagnum cuspidatum
Buxbaumia aphylla
Oxalis corniculata
Trifolium repens
Braya purpurascens
Rumex hydrolapathum
Hieracium nudonigricans
Juncus gerardii
Calypogeia arguta
Trifolium resupinatum
Apium repens
Verbascum thapsus
Calypogeia azurea
Polytrichum formosum
Buxbaumia viridis
Carduus acanthoides
Trifolium retusum
Rorippa sylvestris
Hieracium oblasescens
Pohlia ludwigii
Mentha arvensis
Lathyrus palustris
Eurhynchium hians
Calypogeia fissa
Sciuro-hypnum plumosum
Molinia caerulea
Polytrichum hyperboreum
Cerastium glomeratum
Hennediella heimii
Asplenium trichomanes
Carex ursina
Honkenya peploides
Silene wahlbergella
Calypogeia integristipula
Oxytropis sordida
Malus domestica
Polytrichum juniperinum
Hieracium obtextum
Cerastium glutinosum
Hieracium obversum
Calypogeia muelleriana
Tropaeolum majus
Bryum nitidulum
Iberis amara
Tetrodontium brownianum
Rorippa armoracioides
Carex lachenalii
Tetrodontium ovatum
Rumex longifolius
Calypogeia neesiana
Eurhynchium praelongum
Draba incana
Tetrodontium repandum
Frullania oakesiana
Polytrichum longisetum
Hieracium offerdalense
Vicia bithynica
Polypodium interjectum
Eurhynchium pulchellum
Diplophyllum gymnostomophilum
Polytrichum norvegicum
Scapania gymnostomophila
Tropaeolum peregrinum
Calypogeia sphagnicola
Rumex maritimus
Gymnostomum aeruginosum
Eragrostis minor
Catabrosa aquatica
Syringa vulgaris
Pogonatum aloides
Pohlia melanodon
Polytrichum pallidisetum
Calypogeia suecica
Epilobium alpinum
Apera spica-venti
Cardamine amara
Polytrichum piliferum
Leptobryum pyriforme
Lophozia ventricosa
Eurhynchium schleicheri
Neckera crispa
Hieracium oncodes
Epilobium alsinifolium
Hieracium onosmoides
Nepeta cataria
Trifolium spadiceum
Polytrichum sexangulare
Oxalis dillenii
Hieracium fuscocinereum
Antennaria nordhageniana
Sphagnum warnstorfii
Medicago arabica
Lysichiton americanus
Holodiscus discolor
Catabrosa latifolia
Epilobium anagallidifolium
Porphyropsis coccinea
Isoëtes echinospora
Eurhynchium striatulum
Polytrichum strictum
Minuartia biflora
Hieracium oppositidens
Rumex oblongifolius
Epilobium angustifolium
Eurhynchium striatum
Rumex obovatus
Citrullus lanatus
Rumex obtusifolius
Hieracium orbolense
Compsothamnion thuyoides
Amblyodon dealbatus
Hieracium oreadea
Silene furcata
Veronica opaca
Paralia sulcata
Calliergon megalophyllum
Carex lapponica
Scapania hyperborea
Agrimonia eupatoria
Cardamine bellidifolia
Carex lasiocarpa
Rapistrum rugosum
Hieracium psilanthum
Loeskypnum badium
Pogonatum dentatum
Streptotheca tamesis
Trifolium striatum
Rubus arcticus
Grimmia donniana
Viscaria alpina
Hieracium orphnocratum
Hordeum murinum
Calluna vulgaris
Hieracium ortholepium
Astragalus alpinus
Phymatolithon lenormandii
Gentiana pneumonanthe
Ornithopus perpusillus
Hieracium ovalescens
Paris quadrifolia
Osmunda regalis
Antennaria porsildii
Asplenium viride
Eunotia triodon
Taraxacum kolaense
Aronia prunifolia
Cerastium nigrescens
Nepeta grandiflora
Carex laxa
Galium pumilum
Frullania tamarisci
Cardamine bulbifera
Rumex patientia
Ditrichum heteromallum
Valerianella dentata
Neottia nidus-avis
Ornithopus pinnatus
Linum bienne
Oxyria digyna
Carex vaginata
Agrimonia odorata
Oedipodium griffithianum
Herbertus borealis
Lepidium densiflorum
Pinus sylvestris
Cynodon dactylon
Thymus praecox
Pogonatum nanum
Epilobium brunnescens
Stellaria graminea
Rubus armeniacus
Pedicularis flammea
Ranunculus aconitifolius
Potentilla anserina
Taraxacum kupfferi
Schizostauron fimbriatum
Lathraea squamaria
Lychnis chalcedonica
Urospora microscopica
Nemalion helminthoides
Setaria faberi
Agrimonia procera
Urospora penicilliformis
Medicago falcata
Chara braunii
Malva moschata
Viola mirabilis
Nemalion multifidum
Linum catharticum
Bryum pallens
Euphorbia esula
Cakile maritima
Phragmites australis
Myosotis stricta
Atrichum tenellum
Valerianella locusta
Pucciphippsia vacillans
Cerastium pumilum
Saxifraga cespitosa
Iberis sempervirens
Melilotus officinalis
Thymus pulegioides
Amblystegium varium
Atrichum undulatum
Malva neglecta
Apoglossum ruscifolium
Osmundea oederi
Viola montana
Poa abbreviata
Cryptopleura ramosa
Epilobium ciliatum
Didymodon fallax
Membranoptera alata
Lychnis flos-cuculi
Scutellaria altissima
Osmundea truncata
Dicentra formosa
Pilularia globulifera
Rumex salicifolius
Rubus aureolus
Dracocephalum ruyschiana
Oenothera ammophila
Grimmia funalis
Iberis umbellata
Aquilegia vulgaris
Malva parviflora
Antennaria villifera
Cerastium regelii
Trisetum flavescens
Epilobium collinum
Polygala amarella
Chenopodium hybridum
Cassiope hypnoides
Carex lepidocarpa
Sphagnum quinquefarium
Hieracium pampretum
Dracocephalum sibiricum
Rumex sanguineus
Salix myrsinifolia
Pogonatum urnigerum
Hieracium expallidum
Bromus hordeaceus
Malva pusilla
Lathyrus vernus
Pyrola chlorantha
Scapania mucronata
Linum grandiflorum
Carex leporina
Cerastium semidecandrum
Erigeron acer
Epilobium davuricum
Salix myrsinites
Hieracium pannuligerum
Salsola tragus
Rumex stenophyllus
Taraxacum lacistophyllum
Poa alpina
Euphrasia officinalis
Dipsacus fullonum
Erigeron acris
Carex krausei
Thymus serpyllum
Malva sylvestris
Lycopodium alpinum
Rubus villicaulis
Drepanocladus aduncus
Festuca rubra
Cynodontium fallax
Cardamine flexuosa
Erythrotrichia carnea
Cynodontium gracilescens
Milium effusum
Breidleria pratensis
Phleum phleoides
Cynodontium jenneri
Brachythecium erythrorrhizon
Rubus parviflorus
Rumex thyrsiflorus
Cynodontium polycarpon
Viola odorata
Armoracia rusticana
Lychnis viscaria
Cynodontium strumiferum
Chrysosplenium oppositifolium
Pseudocalliergon turgescens
Malva verticillata
Cynodontium suecicum
Rumex triangulivalvis
Cynodontium tenellum
Dipsacus strigosus
Rubus lindebergii
Grimmia subsulcata
Carex lidii
Drepanocladus capillifolius
Carex ligerica
Cerastium tomentosum
Sedum aizoon
Hieracium pedatifolium
Montia fontana
Hieracium obtusoserratum
Lycopodium annotinum
Erigeron alpinus
Oxalis acetosella
Carex limosa
Hieracium peleterianum
Ceramium deslongchampsii
Scleranthus annuus
Dryopteris oreades
Medicago lupulina
Setaria geniculata
Euphorbia palustris
Hypnum revolutum
Scapania paludosa
Hieracium None
Ceramium diaphanum
Hieracium pellucidum
Poa annua
Hieracium pendulum
Cardamine hirsuta
Senecio aquaticus
Cynoglossum amabile
Salix myrtilloides
Erigeron annuus
Ophrys insectifera
Viola palustris
Nitophyllum punctatum
Eutrema edwardsii
Sinacalia tangutica
Philonotis tomentella
Carex livida
Euphorbia paralias
Medicago minima
Marchantia alpestris
Aesculus hippocastanum
Epilobium hirsutum
Marchantia aquatica
Genista tinctoria
Calliergon cordifolium
Rhododendron lapponicum
Carex loliacea
Diphasiastrum alpinum
Thymus vulgaris
Herbertus dicranus
Othocallis siberica
Cardamine impatiens
Nitella translucens
Diphasiastrum complanatum
Draba lactea
Epilobium hornemannii
Carex rufina
Poa arctica
Drepanocladus sendtneri
Hieracium petersii
Arnellia fennica
Taxiphyllum wissgrillii
Hieracium petiolatum
Pseudofumaria lutea
Drepanocladus sordidus
Bryhnia novae-angliae
Scleranthus perennis
Cinna latifolia
Lysimachia nemorum
Diphasiastrum tristachyum
Sedum album
Marchantia polymorpha
Scapania paludicola
Anchusa arvensis
Drepanocladus uncinatus
Lysimachia nummularia
Epilobium lactiflorum
Trisetum spicatum
Viola persicifolia
Hieracium phaliotum
Epilobium laestadii
Polygala comosa
Hieracium philanthrax
Rubus caesius
Puccinellia vahliana
Empetrum nigrum
Euphorbia peplus
Conium maculatum
Hieracium phrixocomoides
Hieracium phrixocomum
Cynoglossum glochidiatum
Epilobium lapponicum
Senecio inaequidens
Dilsea carnosa
Arabidopsis arenosa
Blasia pusilla
Ditrichum crispatissimum
Didymodon insulanus
Ditrichum cylindricum
Arnica angustifolia
Bromopsis inermis
Oenothera biennis
Alnus glutinosa
Brachythecium ryanii
Ditrichum flexicaule
Cicerbita alpina
Lysimachia punctata
Atractylocarpus alpinus
Herniaria glabra
Erigeron boreale
Erigeron borealis
Salix hastata
Medicago polymorpha
Platanthera bifolia
Trisetum subalpestre
Primula nutans
Luzula nivalis
Poa balfourii
Corylus avellana
Poa laxa
Hieracium pilosella
Arabidopsis petraea
Carex rupestris
Tritomaria polita
Tofieldia pusilla
Elymus repens
Chiloscyphus coadunatus
Chiloscyphus coadunatuscoadunatus
Chiloscyphus coadunatusrivularis
Salix borealis
Carex buxbaumii
Arabidopsis suecica
Anchusa officinalis
Ditrichum lineare
Herzogiella striatella
Epilobium montanum
Arabidopsis thaliana
Galium boreale
Asparagus officinalis
Danthonia decumbens
Pohlia vexans
Cynoglossum officinale
Hippuris lanceolata
Trollius europaeus
Carex mackenziei
Homalothecium geheebii
Hippuris tetraphylla
Triglochin maritima
Carex macloviana
Hippuris vulgaris
Vulpia bromoides
Empetrum hermaphroditum
Phedimus aizoon
Platanthera chlorantha
Chiloscyphus fragrans
Homalothecium lutescens
Triglochin maritimum
Seirospora interrupta
Phedimus hybridus
Ditrichum pusillum
Senecio nemorensis
Senecio jacobaea
Agrostis canina
Seirospora seirosperma
Sagina caespitosa
Alnus incana
Sagina cespitosa
Phedimus spurius
Lathyrus sylvestris
Veronica agrestis
Brunnera macrophylla
Calamagrostis canescens
Triglochin palustre
Elaeagnus commutata
Epilobium obscurum
Lysimachia thyrsiflora
Triglochin palustris
Lophocolea bidentata
Sauteria alpina
Rosa canina
Potamogeton lucens
Ranunculus lanuginosus
Arabis alpina
Veronica catenata
Calliergon richardsonii
Arctoa fulvella
Homalothecium sericeum
Ditrichum zonatum
Adoxa moschatellina
Calamagrostis chalybaea
Poa bulbosa
Lysimachia vulgaris
Epilobium palustre
Stylonema alsidii
Kalmia procumbens
Scrophularia auriculata
Medicago sativa
Cardamine parviflora
Argyranthemum frutescens
Sagina maritima
Aphanes arvensis
Chiloscyphus polyanthos
Omphalodes verna
Rubus chamaemorus
Aphanes australis
Carex magellanica
Phegopteris connectilis
Amphidium lapponicum
Centaurea stoebe
Ulva linza
Linum usitatissimum
Festuca altissima
Viola reichenbachiana
Aplodon wormskioldii
Lophocolea heterophylla
Chiloscyphus profundus
Pohlia wahlenbergii
Sagina nivalis
Aphanes inexspectata
